Institute_Name,Factor_Name,Factor_Category,Published_Value,Published_Unit,Formula,Mandatory,Verification_Status,Admission_Cycle,Source_Type,Source_Reference
IIM Ahmedabad,CAT cutoffs,Entrance Exam,CAT ≥95 overall; ≥85 sectional for General/EWS; category and PwD values also published separately,Percentile,,Yes,Verified Official,2026–28 / CAT 2025,Official,Stage3_Batch1.docx; IIMA shortlisting criteria PDF [16]
IIM Ahmedabad,GMAT / GMAT Focus overseas route,Entrance Exam,GMAT Focus total 665; previous GMAT total 720; section minima published,Score,,Yes,Verified Official,2026–28 / CAT 2025,Official,Stage3_Batch1.docx; IIMA shortlisting criteria PDF [16]
IIM Ahmedabad,Shortlist formula,Entrance Exam,Composite Score,Formula,CS = 0.35×(AR/38) + 0.65×(CAT/204),Yes,Verified Official,2026–28 / CAT 2025,Official,Stage3_Batch1.docx; IIMA shortlisting criteria PDF; admissions page [17]
IIM Ahmedabad,Academic Rating methodology,Academics,AR = A+B+C+D+E,Formula,AR = A+B+C+D+E,Yes,Verified Official,2026–28 / CAT 2025,Official,Stage3_Batch1.docx; IIMA admissions page [18]
IIM Ahmedabad,Work experience,Work Experience,"0.20×(months−11), capped at 5",Points,"0.20×(months−11), capped at 5",No,Verified Official,2026–28 / CAT 2025,Official,Stage3_Batch1.docx; IIMA admissions page [19]
IIM Ahmedabad,Gender diversity,Diversity,male = 0; all others = 3,Points,,No,Verified Official,2026–28 / CAT 2025,Official,Stage3_Batch1.docx; IIMA admissions page [20]
IIM Ahmedabad,Academic thresholds,Academics,Stream-wise P threshold and 80th-percentile bachelor threshold by category/group,Threshold,,Yes,Verified Official,2026–28 / CAT 2025,Official,Stage3_Batch1.docx; IIMA admissions page; shortlisting PDF [21]
IIM Bangalore,Pre-PI score weights,Other,CAT 55 + 10th 10 + 12th 10 + Bachelor 10 + WorkEx/ProfCourse 10 + Gender 5,Points,,Yes,Verified Official,2026–28 / CAT 2025,Official,Stage3_Batch1.docx; IIMB PGP 2026–28 PDF [24]
IIM Bangalore,CAT sectional composition,Entrance Exam,19 / 21 / 15,Points,,Yes,Verified Official,2026–28 / CAT 2025,Official,Stage3_Batch1.docx; IIMB PGP 2026–28 PDF [25]
IIM Bangalore,Work-experience formula,Work Experience,10x/36 for x<36; 10 at x≥36,Points,10x/36 for x<36; 10 at x≥36,No,Verified Official,2026–28 / CAT 2025,Official,Stage3_Batch1.docx; IIMB PGP 2026–28 PDF [26]
IIM Bangalore,Professional-course interaction,Professional Qualification,Higher of work-ex score or professional-course score,Rule,,No,Verified Official,2026–28 / CAT 2025,Official,Stage3_Batch1.docx; IIMB PGP 2026–28 PDF [27]
IIM Bangalore,Standardization formula,Other,"Max[0,min{wt, wt/2 + ((val-mean)/sd)×wt/6}]",Formula,"Max[0,min{wt, wt/2 + ((val-mean)/sd)×wt/6}]",Yes,Verified Official,2026–28 / CAT 2025,Official,Stage3_Batch1.docx; IIMB PGP 2026–28 PDF [25]
IIM Bangalore,Direct PI bypass,Other,Top-10 performers in certain categories automatically qualify for PI,Rule,,No,Verified Official,2026–28 / CAT 2025,Official,Stage3_Batch1.docx; IIMB PGP 2026–28 PDF [28]
IIM Calcutta,Stage-I CAT cutoffs,Entrance Exam,Open 85/80/80/75 and category-wise minima; actual shortlist cutoffs may be higher,Percentile,,Yes,Verified Official,2026–28 / CAT 2025,Official,Stage3_Batch1.docx; IIM Calcutta admissions page [31]
IIM Calcutta,Stage-II shortlist formula,Other,CAT 56 + Class 10 10 + Class 12 15 + Gender 4,Points,,Yes,Verified Official,2026–28 / CAT 2025,Official,Stage3_Batch1.docx; IIM Calcutta admissions page [32]
IIM Calcutta,Class 10 brackets,Academics,10/8/6/4/2/0,Points,,No,Verified Official,2026–28 / CAT 2025,Official,Stage3_Batch1.docx; IIM Calcutta admissions page [33]
IIM Calcutta,Class 12 brackets,Academics,15/12/9/6/3/0,Points,,No,Verified Official,2026–28 / CAT 2025,Official,Stage3_Batch1.docx; IIM Calcutta admissions page [33]
IIM Calcutta,Gender diversity,Diversity,4 marks for female/transgender,Points,,No,Verified Official,2026–28 / CAT 2025,Official,Stage3_Batch1.docx; IIM Calcutta admissions page [32]
IIM Calcutta,Graduation and work experience in Stage-1,Other,0% weight in shortlist stage,Percent,,No,Verified Official,2026–28 / CAT 2025,Official,Stage3_Batch1.docx; IIM Calcutta admissions page [34]
IIM Lucknow,Cutoffs,Entrance Exam,General MBA 90 overall / 85 sectional; separate MBA-ABM and MBA-SM cutoffs are published,Percentile,,Yes,Verified Official,2026–28 / CAT 2025,Official,Stage3_Batch1.docx; IIM Lucknow policy PDF [13]
IIM Lucknow,Composite shortlist formula,Other,0.60 CS + 0.10 12M + 0.10 GM + 0.10 WE + 0.05 DFa + 0.05 DFb,Formula,0.60 CS + 0.10 12M + 0.10 GM + 0.10 WE + 0.05 DFa + 0.05 DFb,Yes,Verified Official,2026–28 / CAT 2025,Official,Stage3_Batch1.docx; IIM Lucknow policy PDF [38]
IIM Lucknow,CS formula,Entrance Exam,Scaled CAT = candidate CAT / highest CAT × 60,Formula,Scaled CAT = candidate CAT / highest CAT × 60,Yes,Verified Official,2026–28 / CAT 2025,Official,Stage3_Batch1.docx; IIM Lucknow policy PDF [38]
IIM Lucknow,Class 12 percentile formula,Academics,12M from five-year pooled board/discipline percentile,Formula,,No,Verified Official,2026–28 / CAT 2025,Official,Stage3_Batch1.docx; IIM Lucknow policy PDF [13]
IIM Lucknow,Graduation normalization,Academics,Discipline-wise normalized GM,Formula,,No,Verified Official,2026–28 / CAT 2025,Official,Stage3_Batch1.docx; IIM Lucknow policy PDF; screenshot [13]
IIM Lucknow,Work-experience treatment,Work Experience,MBA formula from x>6; ABM zero; SM requires x>24,Rule/points,,No,Verified Official,2026–28 / CAT 2025,Official,Stage3_Batch1.docx; IIM Lucknow policy PDF [39]
IIM Lucknow,Diversity factors,Diversity,DFa 5 and DFb 5,Points,,No,Verified Official,2026–28 / CAT 2025,Official,Stage3_Batch1.docx; IIM Lucknow policy PDF [39]
IIM Indore,CAT cutoffs,Entrance Exam,Gen/EWS 90/80; NC-OBC 80/70; SC 60/55; ST/PwD 45/40,Percentile,,Yes,Verified Official,2026–28 / CAT 2025,Official,Stage3_Batch1.docx; IIM Indore PGP PDF [42]
IIM Indore,Stage-II shortlist weights,Other,10th 10 + 12th 25 + VARC16 + DILR16 + QA23 + DF7 + WE0–3,Points,,Yes,Verified Official,2026–28 / CAT 2025,Official,Stage3_Batch1.docx; IIM Indore PGP PDF [42]
IIM Indore,Academic normalization,Academics,Z-score normalization for 10th and 12th,Formula,,No,Verified Official,2026–28 / CAT 2025,Official,Stage3_Batch1.docx; IIM Indore PGP PDF [42]
IIM Indore,Graduation weight,Academics,0% in stage-1 shortlist,Percent,,No,Verified Official,2026–28 / CAT 2025,Official,Stage3_Batch1.docx; IIM Indore PGP PDF [43]
IIM Indore,COVID redistribution,Other,Missing 10th/12th marks redistributed pro rata,Rule,,No,Verified Official,2026–28 / CAT 2025,Official,Stage3_Batch1.docx; IIM Indore PGP PDF [44]
IIM Indore,Diversity factor weight,Diversity,DF=7,Points,,No,Verified Official,2026–28 / CAT 2025,Official,Stage3_Batch1.docx; IIM Indore PGP PDF [45]
IIM Indore,Work-experience weight,Work Experience,WE0–3,Points,,No,Verified Official,2026–28 / CAT 2025,Official,Stage3_Batch1.docx; IIM Indore PGP PDF [46]
IIM Kozhikode,CAT thresholds,Entrance Exam,85 overall and common sectional threshold of 75 for General; OBC-NCL/EWS 75/65; SC 65/55; ST/PwD 55/45,Percentile,,Yes,Verified Official,2026–28 / CAT 2025,Official,Stage3_Batch1.docx; IIMK PGP policy PDF [7]
IIM Kozhikode,AIS weights,Other,CAT 50 + Class X 15 + Class XII 20 + Gender 10 / Academic 5 + WorkEx 5,Points,,Yes,Verified Official,2026–28 / CAT 2025,Official,Stage3_Batch1.docx; IIMK PGP policy PDF [48]
IIM Kozhikode,Class X normalization,Academics,Divide by board highest and multiply by 15,Formula,Class X score = candidate marks / board highest × 15,No,Verified Official,2026–28 / CAT 2025,Official,Stage3_Batch1.docx; IIMK PGP policy PDF [49]
IIM Kozhikode,Class XII normalization,Academics,Divide by board-stream highest and multiply by 20,Formula,Class XII score = candidate marks / board-stream highest × 20,No,Verified Official,2026–28 / CAT 2025,Official,Stage3_Batch1.docx; IIMK PGP policy PDF [50]
IIM Kozhikode,Gender / academic diversity,Diversity,"Gender 10, academic diversity 5, non-stacking",Points,,No,Verified Official,2026–28 / CAT 2025,Official,Stage3_Batch1.docx; IIMK PGP policy PDF [51]
IIM Kozhikode,Work-experience curve,Work Experience,Peaks at 35–36 months at 5 points,Points,,No,Verified Official,2026–28 / CAT 2025,Official,Stage3_Batch1.docx; IIMK PGP policy PDF; Annexure screenshot [52]
IIM Shillong,Aggregate shortlisting logic,Other,"Composite Score based on total CAT percentile and NARS, weighted 65% CAT / 35% NARS",Percent/Formula,Composite Score = 65% CAT + 35% NARS,Yes,Verified Official,2026–28,Official,Stage3_Batch2.docx; 2026 policy PDF [53]
IIM Shillong,Eligibility,Application,"Bachelor’s degree with 50%, or 45% for SC/ST/DA; CAT for domestic applicants",Minimum requirement,,Yes,Verified Official,2026–28,Official,Stage3_Batch2.docx; admissions page [22]
IIM Shillong,Program,Other,PGP is a two-year full-time residential MBA,Program metadata,,No,Verified Official,2026–28,Official,Stage3_Batch2.docx; PGP admissions page [22]
IIM Ranchi,Initial PI shortlist cutoff,Entrance Exam,"General initial shortlist is 95.25 overall, with 75 sectional percentiles and positive scaled scores",Percentile,,Yes,Verified Official,2026–28,Official,Stage3_Batch2.docx; Ranchi criteria PDF; JAP 2026 PDF [30]
IIM Ranchi,Final CML methodology,Other,65 CAT component + 20 profile + 15 PI,Points/Percent,,No,Verified Official,2026–28,Official,Stage3_Batch2.docx; Ranchi criteria PDF [28]
IIM Ranchi,Gender bonus,Diversity,5 bonus marks for female/transgender candidates,Points,,No,Verified Official,2026–28,Official,Stage3_Batch2.docx; Ranchi criteria PDF [28]
IIM Ranchi,MBA-HRM work-experience bonus,Work Experience,5 bonus marks in MBA-HRM for 2–3 years work experience,Points,,No,Verified Official,2026–28,Official,Stage3_Batch2.docx; Ranchi criteria PDF [28]
IIM Ranchi,MBA-BA eligibility,Application,Relevant full-time UG degree with 60% and specified quantitative or computing subjects studied,Minimum requirement,,Yes,Verified Official,2026–28,Official,Stage3_Batch2.docx; Ranchi criteria PDF [28]
IIM Raipur,Graduation minimums,Application,"60 for GEN/EWS/NC-OBC, 50 for SC, 45 for ST/PwD",Percent,,Yes,Verified Official,2026–28,Official,Stage3_Batch2.docx; Raipur 2026 policy page [35]
IIM Raipur,Final-score weights,Other,"CAT 50, PI 40, Class X 15, Class XII 15, Work Ex 15, Gender 8, Profile 5, Academic Diversity 2",Points,,No,Verified Official,2026–28,Official,Stage3_Batch2.docx; Raipur 2026 policy page [36]
IIM Raipur,Gender/academic diversity exclusivity,Diversity,"Candidates receive either gender or academic-diversity marks, not both",Rule,,No,Verified Official,2026–28,Official,Stage3_Batch2.docx; Raipur 2026 policy page [36]
IIM Sambalpur,Stage-1 CAT thresholds,Entrance Exam,"General 90, EWS 80, NC-OBC 75, SC 55, ST 40, DAP 40; positive CAT raw scores required in all sections",Percentile,,Yes,Verified Official,2026–28,Official,Stage3_Batch2.docx; official 2026–28 policy [42]
IIM Sambalpur,General-category relaxation,Diversity,General-category relaxation to 85 for all female candidates and for male candidates with at least one year of relevant work experience,Percentile,,No,Verified Official,2026–28,Official,Stage3_Batch2.docx; official 2026–28 policy [61]
IIM Sambalpur,CAT-score formula,Entrance Exam,"0.31 × overall percentile + 0.03 each for VARC, QA, and DILR",Formula,0.31 × overall percentile + 0.03×VARC + 0.03×QA + 0.03×DILR,Yes,Verified Official,2026–28,Official,Stage3_Batch2.docx; official 2026–28 policy [61]
IIM Sambalpur,Pre-PI score,Other,Stage 2 Pre-PI score out of 75,Score,,No,Verified Official,2026–28,Official,Stage3_Batch2.docx; official 2026–28 policy [43]
IIM Sambalpur,Planned intake,Other,320,Seats,,No,Verified Official,2026–28,Official,Stage3_Batch2.docx; official 2026–28 policy [41]
IIFM Bhopal,Program set and seats,Other,Four MBA programs; seats 150 + 75 + 75 + 75,Seats,,No,Verified Official,2026,Official,Stage3_Batch2.docx; Qualifying-exam page [46]
IIFM Bhopal,Eligibility,Application,"Bachelor’s degree with 50%, or 45% for SC/ST/DA; CAT/XAT/MAT/CMAT accepted",Minimum requirement,,Yes,Verified Official,2026,Official,Stage3_Batch2.docx; eligibility page [48]
IIFM Bhopal,Selection stages,Entrance Exam,Exam-based shortlisting followed by offline PI across seven centers,Process,,Yes,Verified Official,2026,Official,Stage3_Batch2.docx; selection-process page [49]
IIFM Bhopal,Fees,Other,"₹12.98 lakh for General/NC-OBC/EWS and ₹7.788 lakh for SC/ST, plus refundable caution money",INR,,No,Verified Official,2026,Official,Stage3_Batch2.docx; fee/refund page [47]
FMS Delhi,Shortlist formula,Entrance Exam,0.40 VARC + 0.30 DILR + 0.30 QA,Percent/Formula,Shortlist score = 0.40 VARC + 0.30 DILR + 0.30 QA,Yes,Verified Official,2026–28,Official,Stage3_Batch3.docx; FMS MBA Full-Time 2026-28 bulletin [6]
FMS Delhi,Women bonus at shortlist,Diversity,+5 women at shortlist,Points,,No,Verified Official,2026–28,Official,Stage3_Batch3.docx; FMS bulletin [6]
FMS Delhi,Final-selection matrix,Other,50 CAT + 10 Class X + 10 Class XII + 10 SOP discussion + 5 Extempore + 15 PI; +5 women at interview stage,Points,,No,Verified Official,2026–28,Official,Stage3_Batch3.docx; FMS bulletin [6]
IIFT Delhi,Broad process,Entrance Exam,CAT 2025 plus other defined parameters; shortlist to GD/PI,Process,,Yes,Verified Official,2026–28,Official,Stage3_Batch3.docx; official admission 2026 page and 2026-28 prospectus [9]
IIFT Delhi,Secondary-supported Stage-I weights,Other,90 CAT + 5 Work Experience + 5 Gender,Points,,Yes,Verified Secondary,2026–28,Verified Secondary / Archival,Stage3_Batch3.docx; Cracku and Scribd archival criteria [35]
IIFT Delhi,Secondary-supported Stage-II weights,Other,55 CAT + 10 GD + 20 PI + 5 Gender + 5 Work Experience + 5 Academic Consistency,Points,,No,Verified Secondary,2026–28,Verified Secondary / Archival,Stage3_Batch3.docx; Cracku and Scribd archival criteria [35]
MDI Gurgaon,Stage-I selection weights,Other,70 CAT + 5 Class X + 5 Class XII + 5 Graduation + 2.5 Academic Diversity + 2.5 Gender Diversity + 10 Work Experience,Points,,Yes,Verified Official,2026–28,Official,Stage3_Batch3.docx; MDI official Stage-I/Stage-II criteria PDF [11]
MDI Gurgaon,Stage-II selection weights,Other,35 CAT + 5 BAT + 5 WAT + 10 GD + 20 PI + 5 Graduation + 2.5 Academic Diversity + 2.5 Gender Diversity + 2.5 Regional Diversity + 2.5 Sports + 10 Work Experience,Points,,No,Verified Official,2026–28,Official,Stage3_Batch3.docx; MDI official Stage-I/Stage-II criteria PDF [11]
IMT Ghaziabad,Broad holistic process,Other,"Exam score, academics, diversity, work experience, CT/PI or PI-related assessment, and extracurriculars described by secondary sources; no exact official numeric matrix",Process,,No,Verified Secondary,2026 public-facing material mostly evergreen,Verified Secondary,Stage3_Batch3.docx; Cracku and Careers360 [36]
IRMA Anand,Eligibility/programme status,Application,"Current official pages verify MBA 2026–28 status, eligibility, fee categories, document requirements, and no-management-quota statement",Process,,Yes,Verified Official,MBA 2026–28 current site; Stage-1 official guidebook reference 2025–27,Official,Stage3_Batch3.docx; official IRMA pages [37]
XIMB Bhubaneswar,Eligibility,Application,55% aggregate,Percent,,Yes,Verified Official,2026 intake,Official,Stage3_Batch3.docx; official MBA-BM admission page [16]
XIMB Bhubaneswar,Accepted tests,Entrance Exam,"XAT, CAT, GMAT, XGMT",Process,,Yes,Verified Official,2026 intake,Official,Stage3_Batch3.docx; official MBA-BM admission page [16]
SPJIMR Mumbai,Shortlisting pathway,Profile,Profile-based + profile-cum-score-based,Process,,Yes,Verified Official,2026–28,Official,Stage3_Batch4.docx; SPJIMR admissions page / eligibility PDF [6]
SPJIMR Mumbai,Profile pathway components,Profile,"Academic background, work-experience relevance, entrance scores, and versatility/achievements are considered",Process,,No,Verified Official,2026–28,Official,Stage3_Batch4.docx; SPJIMR admissions page / eligibility PDF [6]
XLRI Jamshedpur,BM/HRM shortlist basis,Entrance Exam,Interview shortlists for BM and HRM are based only on XAT scores,Process,,Yes,Verified Official,2026 intake / XAT 2026,Official,Stage3_Batch4.docx; XLRI prospectus / XAT bulletin / XAT FAQ [8]
XLRI Jamshedpur,Accepted exam pathway,Entrance Exam,Indian applicants use XAT; GMAT is available for specified non-XAT cases,Process,,Yes,Verified Official,2026 intake / XAT 2026,Official,Stage3_Batch4.docx; XLRI prospectus / XAT bulletin / XAT FAQ [8]
ISB Hyderabad and Mohali,Core criteria,Application,"Bachelor's degree, valid GMAT/GRE score, and at least 24 months full-time work experience",Minimum requirement,,Yes,Verified Official,Current ISB PGP cycle in official pages,Official,Stage3_Batch4.docx; ISB eligibility/deadlines pages [10]
ISB Hyderabad and Mohali,Essays and interview,Written Application,Essays and interview are integral to the process,Process,,No,Verified Official,Current ISB PGP cycle in official pages,Official,Stage3_Batch4.docx; ISB eligibility/deadlines pages [10]
ISB Hyderabad and Mohali,Campus process,Other,Same PGP process applies across Hyderabad and Mohali,Process,,No,Verified Official,Current ISB PGP cycle in official pages,Official,Stage3_Batch4.docx; ISB eligibility/deadlines pages [10]
JBIMS Mumbai,Governance model,Entrance Exam,Admission is through MAH-MBA CET and CAP rounds carried out by DTE Maharashtra/CET Cell,Process,,Yes,Verified Official,CAP-led cycle context,Official,Stage3_Batch4.docx; JBIMS MMS page / CET CAP pages [12]
JBIMS Mumbai,CAP corroboration,Entrance Exam,MBA/MMS admission moves through CET Cell CAP registration and document verification,Process,,Yes,Verified Secondary,CAP-led cycle context,Verified Secondary,Stage3_Batch4.docx; newspaper CAP schedule article [13]
NMIMS Mumbai,Stage-1 shortlist basis,Entrance Exam,Only the first NMAT attempt is accepted; Stage-2 shortlisting uses sectional and total NMAT score,Process,,Yes,Verified Official,2026–28,Official,Stage3_Batch4.docx; NMIMS handout [15]
NMIMS Mumbai,Second-stage process,Profile,Second stage may include a competency test and PI,Process,,No,Verified Official,2026–28,Official,Stage3_Batch4.docx; NMIMS handout [15]
NMIMS Mumbai,Final merit components,Other,"Final merit includes NMAT, PI, competency test, work experience, and past academic performance",Process,,No,Verified Official,2026–28,Official,Stage3_Batch4.docx; NMIMS handout [15]
NMIMS Mumbai,Women seats,Diversity,30% of seats are offered to women candidates,Percent,,No,Verified Official,2026–28,Official,Stage3_Batch4.docx; NMIMS handout [14]
SIBM Pune,Stage-1 shortlist basis,Entrance Exam,Shortlist for GE-PI is based on overall SNAP percentile,Process,,Yes,Verified Official,2026–28 / SNAP 2025,Official,Stage3_Batch4.docx; SIBM MBA page / SNAP bulletin [20]
SIBM Pune,Merit-list formula,Other,"SNAP 50, GE 10, PI 40",Points,,No,Verified Official,2026–28 / SNAP 2025,Official,Stage3_Batch4.docx; SIBM MBA page / SNAP bulletin [20]
